comment_id,response_id,question,comment_text
C00177,R00643,what_to_change,My first month was three days of induction and then nothing. It is the one thing I would change. The team delivered a difficult project and nobody outside noticed.
C00178,R00649,what_to_change,I answer messages at 10pm because there is no other way to keep up. Otherwise this is a good place to work.
C00179,R00649,what_works,My team is genuinely welcoming and people look out for each other. Please keep it.
C00180,R00651,what_to_change,The main issue is that strategy changes every quarter and nobody explains why. It is the main reason people are looking elsewhere.
C00181,R00652,what_to_change,"I did not have a laptop for my first week, which set the tone. Otherwise this is a good place to work. The team delivered a difficult project and nobody outside noticed."
C00182,R00652,what_works,One thing that works: i can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00183,R00659,what_to_change,To be direct: our systems do not talk to each other so we rekey the same data twice. It should not be this hard.
C00184,R00659,what_works,The direction for the year is clear and I can see how my work fits.
C00185,R00661,what_to_change,The approval process takes longer than the work itself.
C00186,R00663,what_to_change,To be direct: getting access to a tool takes weeks and nobody owns the process. It should not be this hard.
C00187,R00668,what_to_change,My first month was three days of induction and then nothing.
C00188,R00671,what_to_change,"Honestly, recognition stops at my manager and never travels further up."
C00189,R00671,what_works,The direction for the year is clear and I can see how my work fits. That should be the standard everywhere.
C00190,R00681,what_to_change,"Benefits are fine but the base salary is below what I am offered elsewhere. Otherwise this is a good place to work. Promotions here go to people who are visible to leadership, not to people who deliver."
C00191,R00681,what_works,One thing that works: my team is genuinely welcoming and people look out for each other.
C00192,R00687,what_works,One thing that works: my team lead backs us up when things go wrong and that builds trust.
C00193,R00690,what_to_change,"I did not have a laptop for my first week, which set the tone. Good work is expected and never mentioned; mistakes are mentioned immediately."
C00194,R00692,what_to_change,"Honestly, i did not have a laptop for my first week, which set the tone. We hire externally for roles that people inside could grow into."
C00195,R00692,what_works,The hybrid arrangement works well for me and my team coordinates it sensibly. That should be the standard everywhere.
C00196,R00696,what_to_change,"Town halls are broadcasts, not conversations - questions get filtered. Otherwise this is a good place to work."
C00197,R00696,what_works,One thing that works: my manager is genuinely supportive and gives me feedback I can use.
C00198,R00703,what_to_change,"Honestly, i answer messages at 10pm because there is no other way to keep up. The pay bands are a secret, which makes it impossible to trust the process."
C00199,R00703,what_works,"Genuinely, i can raise a concern here without worrying about how it will be taken."
C00200,R00720,what_to_change,"I commute an hour to sit on video calls I could take from home. It is the one thing I would change. Promotions here go to people who are visible to leadership, not to people who deliver."
C00201,R00720,what_works,One thing that works: the pension contribution and the extra leave days are genuinely good. Since we added two people the pressure has come down a lot.
C00202,R00734,what_to_change,Training budget exists on paper but every request gets postponed. Otherwise this is a good place to work. I raised the same issue three times and nothing came back.
C00203,R00734,what_works,The team shout-outs in our monthly meeting are a small thing that works. That should be the standard everywhere.
C00204,R00738,what_to_change,The approval process takes longer than the work itself. The rest of my experience here is positive. The office rules changed twice this year with no explanation.
C00205,R00738,what_works,One thing that works: my team lead backs us up when things go wrong and that builds trust. Please keep it.
C00206,R00742,what_to_change,"Honestly, our systems do not talk to each other so we rekey the same data twice. Otherwise this is a good place to work."
C00207,R00743,what_to_change,To be direct: holiday requests get refused because we do not have the cover. This needs fixing this year.
C00208,R00760,what_to_change,"Honestly, we are permanently short-staffed and the overtime has stopped feeling optional."
C00209,R00761,what_to_change,"To be direct: the pay bands are a secret, which makes it impossible to trust the process. It should not be this hard."
C00210,R00762,what_to_change,We are permanently short-staffed and the overtime has stopped feeling optional.
C00211,R00767,what_works,The direction for the year is clear and I can see how my work fits. That should be the standard everywhere.
C00212,R00773,what_to_change,The main issue is that i answer messages at 10pm because there is no other way to keep up.
C00213,R00786,what_works,"I always know where I stand with my manager, which I value. Please keep it. The team shout-outs in our monthly meeting are a small thing that works."
C00214,R00794,what_to_change,"Honestly, we hire externally for roles that people inside could grow into. This needs fixing this year."
C00215,R00797,what_to_change,"I did not have a laptop for my first week, which set the tone. This needs fixing this year."
C00216,R00802,what_works,One thing that works: my team lead protects our workload and it makes a real difference.
C00217,R00804,what_to_change,The approval process takes longer than the work itself. The rest of my experience here is positive.
C00218,R00804,what_works,The last town hall actually answered the hard questions honestly. The pension contribution and the extra leave days are genuinely good.
C00219,R00806,what_works,One thing that works: the new scheduling tool has saved us hours every week.
C00220,R00810,what_works,"Genuinely, the team shout-outs in our monthly meeting are a small thing that works."
C00221,R00819,what_to_change,"The pay bands are a secret, which makes it impossible to trust the process. Every week is firefighting; there is no capacity left for anything planned."
C00222,R00821,what_to_change,Every week is firefighting; there is no capacity left for anything planned. Nothing has changed since the last survey. Shift patterns get published too late to plan anything around them.
C00223,R00824,what_to_change,To be direct: benefits are fine but the base salary is below what I am offered elsewhere.
C00224,R00824,what_works,I can raise a concern here without worrying about how it will be taken. Please keep it.
C00225,R00843,what_to_change,"Honestly, every week is firefighting; there is no capacity left for anything planned. This needs fixing this year."
C00226,R00848,what_to_change,To be direct: getting access to a tool takes weeks and nobody owns the process. This needs fixing this year.
C00227,R00848,what_works,"I always know where I stand with my manager, which I value."
C00228,R00850,what_to_change,"Honestly, new joiners are hired above people already doing the job. Nothing has changed since the last survey."
C00229,R00860,what_works,"Genuinely, my team lead backs us up when things go wrong and that builds trust."
C00230,R00871,what_to_change,I have been in the same grade for four years with no conversation about what comes next. I am already looking at other options.
C00231,R00872,what_to_change,Our systems do not talk to each other so we rekey the same data twice. It is the main reason people are looking elsewhere.
C00232,R00882,what_to_change,"Town halls are broadcasts, not conversations - questions get filtered. This needs fixing this year."
C00233,R00885,what_to_change,To be direct: i raised the same issue three times and nothing came back. Frankly it is exhausting.
C00234,R00887,what_works,One thing that works: the team shout-outs in our monthly meeting are a small thing that works. Please keep it.
C00235,R00888,what_to_change,There is no visible route from my role to the next one. The rest of my experience here is positive. Our systems do not talk to each other so we rekey the same data twice.
C00236,R00888,what_works,"Genuinely, the hybrid arrangement works well for me and my team coordinates it sensibly. My development plan is real and we actually review it."
C00237,R00892,what_to_change,I commute an hour to sit on video calls I could take from home. It should not be this hard. The team delivered a difficult project and nobody outside noticed.
C00238,R00897,what_to_change,To be direct: training budget exists on paper but every request gets postponed.
C00239,R00905,what_works,One thing that works: the last town hall actually answered the hard questions honestly.
C00240,R00909,what_to_change,"The pay bands are a secret, which makes it impossible to trust the process. This needs fixing this year."
C00241,R00911,what_to_change,I have been in the same grade for four years with no conversation about what comes next. Otherwise this is a good place to work.
C00242,R00911,what_works,One thing that works: flexibility around school hours is the main reason I stay. Please keep it.
C00243,R00919,what_works,One thing that works: i can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00244,R00921,what_works,One thing that works: my development plan is real and we actually review it. Please keep it.
C00245,R00936,what_works,"Genuinely, my manager makes a point of recognising good work publicly. Please keep it."
C00246,R00940,what_to_change,To be direct: i have been in the same grade for four years with no conversation about what comes next. Nothing has changed since the last survey.
C00247,R00945,what_to_change,My first month was three days of induction and then nothing. It is the one thing I would change.
C00248,R00945,what_works,"Genuinely, i always know where I stand with my manager, which I value. Please keep it."
C00249,R00946,what_to_change,"The main issue is that the pay bands are a secret, which makes it impossible to trust the process. It should not be this hard."
C00250,R00947,what_to_change,Every week is firefighting; there is no capacity left for anything planned. It should not be this hard.
C00251,R00952,what_to_change,New joiners are hired above people already doing the job.
C00252,R00952,what_works,The direction for the year is clear and I can see how my work fits. Please keep it.
C00253,R00953,what_to_change,The team delivered a difficult project and nobody outside noticed. It should not be this hard.
C00254,R00953,what_works,"Genuinely, the last town hall actually answered the hard questions honestly."
C00255,R00957,what_to_change,"To be direct: my manager avoids difficult conversations, so problems in the team just continue. Otherwise this is a good place to work. Benefits are fine but the base salary is below what I am offered elsewhere."
C00256,R00959,what_to_change,"Honestly, the pay bands are a secret, which makes it impossible to trust the process. Frankly it is exhausting."
C00257,R00959,what_works,I can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00258,R00963,what_to_change,The main issue is that i commute an hour to sit on video calls I could take from home. It should not be this hard.
C00259,R00973,what_to_change,To be direct: leadership talks about transparency and then reorganises without warning. It should not be this hard.
C00260,R00973,what_works,The pension contribution and the extra leave days are genuinely good.
C00261,R00983,what_to_change,"Honestly, our systems do not talk to each other so we rekey the same data twice. Otherwise this is a good place to work."
C00262,R00994,what_to_change,Leadership talks about transparency and then reorganises without warning. I am already looking at other options.
C00263,R00994,what_works,The hybrid arrangement works well for me and my team coordinates it sensibly. Please keep it. My onboarding buddy made the first weeks much easier.
C00264,R00998,what_to_change,To be direct: i commute an hour to sit on video calls I could take from home. The rest of my experience here is positive.
C00265,R01000,what_to_change,"Honestly, the approval process takes longer than the work itself. It should not be this hard."
C00266,R01011,what_to_change,"The pay bands are a secret, which makes it impossible to trust the process. I answer messages at 10pm because there is no other way to keep up."
C00267,R01011,what_works,The direction for the year is clear and I can see how my work fits.
C00268,R01014,what_to_change,The office rules changed twice this year with no explanation. This needs fixing this year. Getting access to a tool takes weeks and nobody owns the process.
C00269,R01014,what_works,One thing that works: my team is genuinely welcoming and people look out for each other.
C00270,R01015,what_to_change,We are permanently short-staffed and the overtime has stopped feeling optional.
C00271,R01016,what_to_change,We hire externally for roles that people inside could grow into.
C00272,R01018,what_to_change,"To be direct: i did not have a laptop for my first week, which set the tone. Otherwise this is a good place to work."
C00273,R01028,what_to_change,The office rules changed twice this year with no explanation. Frankly it is exhausting.
C00274,R01030,what_to_change,Getting access to a tool takes weeks and nobody owns the process.
C00275,R01030,what_works,My team is genuinely welcoming and people look out for each other. That should be the standard everywhere.
C00276,R01034,what_to_change,Every week is firefighting; there is no capacity left for anything planned. We hire externally for roles that people inside could grow into.
C00277,R01039,what_to_change,The team delivered a difficult project and nobody outside noticed. It should not be this hard.
C00278,R01039,what_works,The last town hall actually answered the hard questions honestly. That should be the standard everywhere.
C00279,R01049,what_to_change,"Honestly, promotions here go to people who are visible to leadership, not to people who deliver. I commute an hour to sit on video calls I could take from home."
C00280,R01050,what_to_change,"Honestly, i raised the same issue three times and nothing came back. This needs fixing this year."
C00281,R01050,what_works,"Genuinely, my team lead protects our workload and it makes a real difference. That should be the standard everywhere. The last town hall actually answered the hard questions honestly."
C00282,R01051,what_to_change,To be direct: training budget exists on paper but every request gets postponed.
C00283,R01051,what_works,My onboarding buddy made the first weeks much easier.
C00284,R01054,what_to_change,"Every week is firefighting; there is no capacity left for anything planned. The rest of my experience here is positive. The pay bands are a secret, which makes it impossible to trust the process."
C00285,R01054,what_works,The direction for the year is clear and I can see how my work fits. That should be the standard everywhere.
C00286,R01057,what_to_change,There is no visible route from my role to the next one. This needs fixing this year.
C00287,R01057,what_works,One thing that works: the pension contribution and the extra leave days are genuinely good. That should be the standard everywhere. I can raise a concern here without worrying about how it will be taken.
C00288,R01066,what_to_change,To be direct: shift patterns get published too late to plan anything around them. It is the one thing I would change.
C00289,R01066,what_works,"Genuinely, the pension contribution and the extra leave days are genuinely good. Please keep it."
C00290,R01070,what_to_change,"My manager avoids difficult conversations, so problems in the team just continue. It is the one thing I would change. Our systems do not talk to each other so we rekey the same data twice."
C00291,R01073,what_to_change,I have been in the same grade for four years with no conversation about what comes next. Nothing has changed since the last survey.
C00292,R01073,what_works,One thing that works: i can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00293,R01087,what_to_change,"Honestly, new joiners are hired above people already doing the job. It is the one thing I would change. The office rules changed twice this year with no explanation."
C00294,R01091,what_to_change,My salary has not kept up with inflation for two years running.
C00295,R01091,what_works,"Genuinely, my team lead backs us up when things go wrong and that builds trust. Please keep it."
C00296,R01093,what_works,One thing that works: the team shout-outs in our monthly meeting are a small thing that works. Please keep it.
C00297,R01096,what_to_change,"To be direct: town halls are broadcasts, not conversations - questions get filtered. Otherwise this is a good place to work."
C00298,R01096,what_works,My team is genuinely welcoming and people look out for each other.
