comment_id,true_themes,true_tone
C00435,Manager relationship,positive
C00436,Flexibility & workplace; Career & progression,negative
C00437,Tools & process,negative
C00438,Manager relationship; Joining & onboarding,positive
C00439,Recognition; Workload & staffing,negative
C00440,Pay & benefits,negative
C00441,Joining & onboarding; Career & progression,negative
C00442,Manager relationship,positive
C00443,Career & progression,negative
C00444,Manager relationship,negative
C00445,Career & progression,negative
C00446,Career & progression; Workload & staffing,negative
C00447,Pay & benefits,negative
C00448,Tools & process; Workload & staffing,negative
C00449,Inclusion & voice; Joining & onboarding,positive
C00450,Leadership & communication; Joining & onboarding,negative
C00451,Tools & process,positive
C00452,Joining & onboarding,negative
C00453,Recognition,negative
C00454,Leadership & communication,negative
C00455,Recognition,negative
C00456,Flexibility & workplace,positive
C00457,Flexibility & workplace,negative
C00458,Joining & onboarding,positive
C00459,Leadership & communication,negative
C00460,Inclusion & voice,positive
C00461,Workload & staffing,negative
C00462,Leadership & communication; Joining & onboarding,positive
C00463,Flexibility & workplace,negative
C00464,Pay & benefits,negative
C00465,Recognition,negative
C00466,Leadership & communication,positive
C00467,Pay & benefits,negative
C00468,Flexibility & workplace,negative
C00469,Manager relationship,positive
C00470,Inclusion & voice; Manager relationship,negative
C00471,Pay & benefits,positive
C00472,Workload & staffing,negative
C00473,Recognition,positive
C00474,Manager relationship,positive
C00475,Joining & onboarding; Tools & process,negative
C00476,Tools & process; Recognition,negative
C00477,Leadership & communication,positive
C00478,Leadership & communication,negative
C00479,Leadership & communication,negative
C00480,Manager relationship,positive
C00481,Tools & process,negative
C00482,Recognition; Pay & benefits,positive
C00483,Manager relationship,negative
C00484,Manager relationship,positive
C00485,Pay & benefits; Leadership & communication,positive
C00486,Flexibility & workplace,negative
C00487,Tools & process; Pay & benefits,positive
C00488,Career & progression,negative
C00489,Inclusion & voice; Workload & staffing,positive
C00490,Joining & onboarding,negative
C00491,Inclusion & voice; Manager relationship,positive
C00492,Joining & onboarding,negative
C00493,Manager relationship,negative
C00494,Pay & benefits,positive
C00495,Flexibility & workplace,negative
C00496,Recognition; Manager relationship,negative
C00497,Workload & staffing,positive
C00498,Career & progression; Flexibility & workplace,negative
C00499,Career & progression,negative
C00500,Inclusion & voice,positive
C00501,Inclusion & voice,positive
C00502,Flexibility & workplace,negative
C00503,Joining & onboarding; Flexibility & workplace,positive
C00504,Inclusion & voice,negative
C00505,Manager relationship; Inclusion & voice,positive
C00506,Inclusion & voice,positive
C00507,Inclusion & voice; Career & progression,positive
C00508,Joining & onboarding; Leadership & communication,negative
C00509,Manager relationship; Recognition,positive
C00510,Manager relationship; Career & progression,positive
C00511,Flexibility & workplace,negative
C00512,Inclusion & voice,positive
C00513,Recognition; Inclusion & voice,negative
C00514,Leadership & communication; Inclusion & voice,positive
C00515,Pay & benefits; Inclusion & voice,positive
C00516,Pay & benefits,negative
C00517,Pay & benefits,negative
C00518,Manager relationship,positive
C00519,Joining & onboarding,negative
C00520,Tools & process,negative
C00521,Flexibility & workplace,negative
C00522,Joining & onboarding,negative
C00523,Leadership & communication,negative
C00524,Inclusion & voice,positive
C00525,Workload & staffing,negative
C00526,Tools & process,positive
C00527,Joining & onboarding,negative
C00528,Manager relationship; Career & progression,positive
C00529,Joining & onboarding; Inclusion & voice,positive
C00530,Joining & onboarding,negative
C00531,Leadership & communication; Recognition,positive
C00532,Recognition; Tools & process,negative
C00533,Flexibility & workplace,negative
C00534,Flexibility & workplace,negative
C00535,Pay & benefits; Leadership & communication,negative
C00536,Joining & onboarding; Career & progression,positive
C00537,Career & progression,negative
C00538,Inclusion & voice,positive
C00539,Manager relationship,negative
C00540,Career & progression,negative
C00541,Joining & onboarding,positive
C00542,Leadership & communication; Joining & onboarding,negative
C00543,Leadership & communication,negative
C00544,Manager relationship,positive
C00545,Manager relationship,positive
C00546,Pay & benefits,negative
C00547,Tools & process,negative
C00548,Inclusion & voice,positive
C00549,Inclusion & voice,negative
C00550,Flexibility & workplace,positive
C00551,Joining & onboarding,negative
C00552,Workload & staffing,negative
C00553,Workload & staffing,positive
C00554,Joining & onboarding,positive
C00555,Leadership & communication; Joining & onboarding,negative
C00556,Manager relationship,positive
C00557,Pay & benefits,negative
C00558,Career & progression,negative
C00559,Flexibility & workplace,positive
C00560,Pay & benefits,negative
C00561,Leadership & communication; Workload & staffing,positive
C00562,Career & progression; Joining & onboarding,negative
C00563,Pay & benefits,negative
C00564,Joining & onboarding; Career & progression,negative
C00565,Flexibility & workplace,negative
C00566,Recognition,negative
C00567,Inclusion & voice,positive
C00568,Recognition,negative
C00569,Joining & onboarding,negative
C00570,Inclusion & voice,positive
C00571,Inclusion & voice,negative
C00572,Leadership & communication; Joining & onboarding,positive
C00573,Career & progression,negative
C00574,Pay & benefits,positive
C00575,Recognition; Leadership & communication,negative
C00576,Manager relationship,positive
C00577,Pay & benefits,negative
C00578,Inclusion & voice; Manager relationship,positive
C00579,Career & progression,negative
C00580,Recognition; Inclusion & voice,negative
C00581,Flexibility & workplace,negative
C00582,Career & progression; Inclusion & voice,negative
C00583,Recognition; Leadership & communication,negative
C00584,Manager relationship,positive
C00585,Manager relationship,positive
C00586,Inclusion & voice; Flexibility & workplace,positive
C00587,Career & progression; Inclusion & voice,negative
C00588,Inclusion & voice,positive
C00589,Pay & benefits; Career & progression,negative
C00590,Joining & onboarding,negative
C00591,Joining & onboarding,negative
C00592,Career & progression,negative
C00593,Flexibility & workplace,negative
C00594,Flexibility & workplace,negative
C00595,Inclusion & voice,positive
C00596,Pay & benefits; Recognition,negative
C00597,Joining & onboarding,positive
C00598,Workload & staffing; Career & progression,negative
C00599,Inclusion & voice; Joining & onboarding,positive
C00600,Flexibility & workplace,negative
C00601,Career & progression,negative
C00602,Career & progression,negative
C00603,Recognition; Pay & benefits,negative
C00604,Manager relationship,negative
C00605,Leadership & communication; Pay & benefits,positive
C00606,Career & progression,negative
C00607,Inclusion & voice,positive
C00608,Career & progression,negative
C00609,Career & progression; Tools & process,negative
C00610,Tools & process,positive
C00611,Workload & staffing,negative
C00612,Inclusion & voice,positive
C00613,Career & progression,negative
C00614,Leadership & communication; Recognition,negative
C00615,Career & progression,negative
C00616,Workload & staffing,negative
C00617,Manager relationship,positive
C00618,Workload & staffing,negative
C00619,Inclusion & voice,positive
C00620,Leadership & communication,negative
C00621,Recognition; Manager relationship,negative
C00622,Workload & staffing,positive
C00623,Manager relationship,positive
C00624,Tools & process,negative
C00625,Workload & staffing,positive
C00626,Flexibility & workplace,negative
C00627,Recognition,negative
C00628,Inclusion & voice; Workload & staffing,negative
C00629,Tools & process,positive
C00630,Pay & benefits,negative
C00631,Inclusion & voice,positive
C00632,Flexibility & workplace,negative
C00633,Joining & onboarding; Career & progression,negative
C00634,Manager relationship,positive
C00635,Recognition; Career & progression,negative
C00636,Inclusion & voice,positive
C00637,Inclusion & voice,negative
C00638,Workload & staffing; Tools & process,positive
C00639,Recognition,negative
C00640,Pay & benefits,negative
C00641,Tools & process,positive
C00642,Recognition; Pay & benefits,negative
C00643,Tools & process,positive
C00644,Recognition; Flexibility & workplace,negative
C00645,Inclusion & voice,positive
C00646,Manager relationship,negative
C00647,Workload & staffing,positive
C00648,Joining & onboarding; Flexibility & workplace,negative
C00649,Flexibility & workplace,negative
C00650,Tools & process,negative
C00651,Manager relationship,positive
C00652,Manager relationship; Workload & staffing,positive
C00653,Leadership & communication; Recognition,negative
C00654,Workload & staffing; Inclusion & voice,positive
C00655,Pay & benefits,negative
C00656,Recognition,negative
C00657,Career & progression,negative
C00658,Tools & process,positive
C00659,Joining & onboarding; Pay & benefits,negative
C00660,Pay & benefits; Tools & process,negative
C00661,Leadership & communication,positive
C00662,Inclusion & voice,negative
C00663,Inclusion & voice,positive
C00664,Pay & benefits,negative
C00665,Leadership & communication; Career & progression,positive
C00666,Manager relationship,positive
C00667,Recognition,negative
C00668,Inclusion & voice,positive
C00669,Manager relationship,negative
C00670,Career & progression,positive
C00671,Manager relationship,negative
C00672,Manager relationship,negative
C00673,Manager relationship,negative
C00674,Inclusion & voice,positive
C00675,Career & progression,negative
C00676,Manager relationship,negative
C00677,Leadership & communication,negative
C00678,Inclusion & voice,positive
C00679,Career & progression,negative
C00680,Joining & onboarding; Inclusion & voice,positive
C00681,Career & progression,negative
C00682,Recognition,negative
C00683,Joining & onboarding,positive
C00684,Career & progression,negative
C00685,Leadership & communication; Recognition,positive
C00686,Leadership & communication; Recognition,negative
C00687,Inclusion & voice,positive
C00688,Pay & benefits,negative
C00689,Tools & process,negative
C00690,Pay & benefits,negative
C00691,Joining & onboarding,positive
C00692,Joining & onboarding,positive
C00693,Career & progression,negative
C00694,Joining & onboarding,positive
C00695,Pay & benefits,negative
C00696,Recognition,negative
C00697,Leadership & communication,negative
C00698,Pay & benefits,negative
C00699,Recognition; Flexibility & workplace,negative
C00700,Workload & staffing,negative
C00701,Manager relationship; Recognition,positive
C00702,Pay & benefits,negative
C00703,Manager relationship,positive
C00704,Leadership & communication,negative
C00705,Recognition,positive
C00706,Career & progression,negative
C00707,Manager relationship,positive
C00708,Manager relationship,negative
C00709,Workload & staffing,positive
C00710,Manager relationship,negative
C00711,Flexibility & workplace,positive
C00712,Manager relationship; Joining & onboarding,negative
C00713,Flexibility & workplace,negative
C00714,Recognition,negative
C00715,Career & progression,negative
C00716,Inclusion & voice,positive
C00717,Leadership & communication,positive
C00718,Tools & process,negative
C00719,Pay & benefits; Recognition,negative
C00720,Career & progression,negative
C00721,Career & progression; Joining & onboarding,negative
C00722,Joining & onboarding,negative
C00723,Manager relationship,positive
C00724,Pay & benefits,negative
C00725,Leadership & communication,negative
C00726,Pay & benefits; Tools & process,negative
C00727,Flexibility & workplace,negative
C00728,Recognition,negative
C00729,Workload & staffing,negative
C00730,Manager relationship,negative
C00731,Inclusion & voice,positive
C00732,Pay & benefits,negative
C00733,Joining & onboarding,positive
C00734,Career & progression,negative
C00735,Pay & benefits,negative
C00736,Manager relationship,positive
C00737,Leadership & communication,negative
C00738,Recognition,negative
C00739,Pay & benefits; Flexibility & workplace,negative
C00740,Leadership & communication,negative
C00741,Workload & staffing,positive
C00742,Recognition,positive
C00743,Flexibility & workplace,negative
C00744,Manager relationship; Inclusion & voice,positive
C00745,Career & progression; Joining & onboarding,negative
C00746,Leadership & communication; Manager relationship,negative
C00747,Flexibility & workplace,positive
C00748,Recognition,negative
C00749,Inclusion & voice,positive
C00750,Career & progression,negative
C00751,Workload & staffing; Joining & onboarding,positive
C00752,Pay & benefits,negative
C00753,Leadership & communication,positive
C00754,Pay & benefits,negative
C00755,Joining & onboarding,positive
C00756,Pay & benefits,negative
C00757,Flexibility & workplace,positive
C00758,Career & progression,negative
C00759,Recognition,positive
C00760,Tools & process,negative
C00761,Leadership & communication,positive
C00762,Flexibility & workplace,negative
C00763,Tools & process,positive
C00764,Workload & staffing; Joining & onboarding,positive
C00765,Recognition,negative
C00766,Manager relationship,positive
C00767,Pay & benefits,negative
C00768,Tools & process,positive
C00769,Recognition,negative
C00770,Leadership & communication; Tools & process,negative
C00771,Flexibility & workplace,negative
C00772,Joining & onboarding,positive
C00773,Leadership & communication,negative
C00774,Manager relationship,negative
C00775,Inclusion & voice; Career & progression,positive
C00776,Pay & benefits,negative
C00777,Workload & staffing; Leadership & communication,positive
C00778,Leadership & communication; Joining & onboarding,negative
C00779,Manager relationship,positive
C00780,Tools & process,negative
C00781,Inclusion & voice,positive
C00782,Career & progression; Leadership & communication,negative
C00783,Joining & onboarding,positive
C00784,Workload & staffing,negative
C00785,Joining & onboarding,positive
C00786,Career & progression; Flexibility & workplace,negative
C00787,Recognition; Tools & process,negative
C00788,Joining & onboarding,positive
C00789,Career & progression,negative
C00790,Tools & process; Flexibility & workplace,negative
C00791,Manager relationship; Career & progression,positive
C00792,Workload & staffing,negative
C00793,Career & progression,negative
C00794,Workload & staffing; Career & progression,negative
C00795,Joining & onboarding; Flexibility & workplace,positive
C00796,Leadership & communication,negative
C00797,Flexibility & workplace,positive
C00798,Career & progression,negative
C00799,Leadership & communication,positive
C00800,Manager relationship,negative
C00801,Joining & onboarding,positive
C00802,Recognition; Pay & benefits,negative
C00803,Joining & onboarding,positive
C00804,Career & progression,negative
C00805,Tools & process; Inclusion & voice,negative
C00806,Manager relationship,negative
C00807,Workload & staffing,positive
C00808,Flexibility & workplace,negative
C00809,Inclusion & voice,positive
C00810,Recognition,negative
C00811,Workload & staffing,positive
C00812,Manager relationship,negative
C00813,Joining & onboarding,negative
C00814,Leadership & communication,negative
C00815,Pay & benefits; Manager relationship,negative
C00816,Joining & onboarding,negative
C00817,Workload & staffing; Manager relationship,negative
C00818,Manager relationship,positive
C00819,Inclusion & voice,negative
C00820,Recognition,positive
C00821,Inclusion & voice,negative
C00822,Flexibility & workplace,positive
C00823,Workload & staffing,negative
C00824,Inclusion & voice,positive
C00825,Career & progression,negative
C00826,Inclusion & voice,positive
C00827,Recognition,negative
C00828,Manager relationship,positive
C00829,Recognition,positive
C00830,Manager relationship,negative
C00831,Workload & staffing; Career & progression,negative
C00832,Leadership & communication,positive
C00833,Flexibility & workplace,negative
C00834,Career & progression,negative
C00835,Flexibility & workplace,positive
C00836,Career & progression,negative
C00837,Manager relationship,negative
C00838,Inclusion & voice; Manager relationship,negative
C00839,Tools & process,positive
C00840,Pay & benefits; Workload & staffing,negative
C00841,Manager relationship,positive
C00842,Flexibility & workplace,negative
C00843,Pay & benefits,negative
C00844,Pay & benefits,negative
C00845,Joining & onboarding,positive
C00846,Workload & staffing; Inclusion & voice,negative
C00847,Flexibility & workplace,negative
C00848,Career & progression,negative
C00849,Joining & onboarding,negative
C00850,Recognition; Career & progression,negative
C00851,Leadership & communication,negative
C00852,Manager relationship,positive
C00853,Recognition,positive
C00854,Manager relationship; Workload & staffing,positive
C00855,Workload & staffing; Joining & onboarding,negative
C00856,Career & progression,negative
C00857,Joining & onboarding; Pay & benefits,negative
C00858,Inclusion & voice,positive
